Position,Group_1,Group_2,Group_3,Group_4,Group_All
-2545.0,-0.004192447515849066,-0.0030096263456232185,-0.003190810969324939,-0.0033427258204194116,-0.00343392065406988
-2535.0,-0.003956113536282266,-0.002945425281263299,-0.0031578254817678235,-0.0032828976005935305,-0.003335580784196197
-2525.0,-0.0039907876322148655,-0.0029645378225040568,-0.003151917522274995,-0.003316891100297461,-0.0033560495761431894
-2515.0,-0.004143212055623382,-0.00303776644635811,-0.003066039523264859,-0.00336658077283321,-0.003403418651194808
-2505.0,-0.0038907401022577216,-0.002857100674931642,-0.0029526466850914807,-0.0033714593131055843,-0.003268006271838403
-2495.0,-0.0036045221922512373,-0.002770831058566862,-0.0028992524107477485,-0.0035203812936997103,-0.0031987663487265724
-2485.0,-0.0036502714717878302,-0.0028646372508858717,-0.0028220363448782163,-0.0035604925709132656,-0.0032243799532412345
-2475.0,-0.00366509979524901,-0.00292580512136049,-0.002679037027423267,-0.0035605995383324518,-0.003207657218561122
-2465.0,-0.0036309310601072933,-0.0031046773854300014,-0.002605723764025957,-0.0035715611223171625,-0.003228243445266337
-2455.0,-0.0035615188810029317,-0.0030061217266825354,-0.0026379009326934263,-0.0035800424471566627,-0.0031964161826102703
-2445.0,-0.0035212114508541255,-0.0028008237786537496,-0.0027462935896181667,-0.003511984508820886,-0.003145098363239649
-2435.0,-0.00323318541379168,-0.0026150991802333066,-0.0028547834368918444,-0.0034369099581305,-0.0030350106752522732
-2425.0,-0.0032059080179034113,-0.0025554812114067012,-0.0029931348178039007,-0.0033879094057059226,-0.0030356224517556173
-2415.0,-0.003183033913065313,-0.002525280467690333,-0.002988618727979401,-0.0033504673191054935,-0.0030118638504501405
-2405.0,-0.0031266134179441475,-0.002503966457237691,-0.003079450940647189,-0.003368576318491567,-0.0030196640736046615
-2395.0,-0.002914263056891968,-0.0026464486318942726,-0.0030623440600762767,-0.003390091304994287,-0.003003294791200087
-2385.0,-0.003356798674255758,-0.0027484058985434933,-0.0031226547488378805,-0.003403512921566451,-0.0031578550472535355
